"","business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category","riskCatScore"
"13",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103142","Unclean nonfood contact surfaces","Low Risk",1
"21",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103136","Unsanitary employee garments hair or nails","Low Risk",1
"24",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"27",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103109","Unclean or unsanitary food contact surfaces","High Risk",3
"29",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103103","High risk food holding temperature","High Risk",3
"30",13427,"Extreme Pizza","3911 Alemany Bl.","San Francisco","CA","94132",37.711185,-122.46779,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.46779', 'latitude': '37.711185'}",14150999800,"13427_20160216","2016-02-16T00:00:00",96,"Routine - Unscheduled","13427_20160216_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"34",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103141","Improper food labeling or menu misrepresentation","Low Risk",1
"35",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103157","Food safety certificate or food handler card not available","Low Risk",1
"43",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"49",13427,"Extreme Pizza","3911 Alemany Bl.","San Francisco","CA","94132",37.711185,-122.46779,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.46779', 'latitude': '37.711185'}",14150999800,"13427_20160216","2016-02-16T00:00:00",96,"Routine - Unscheduled","13427_20160216_103139","Improper food storage","Low Risk",1
"50",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"80",70494,"The Little Chihuahua Mexican Restaurant","581 VALENCIA St","San Francisco","CA","94110",37.763664,-122.421736,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421736', 'latitude': '37.763664'}",14155207111,"70494_20160216","2016-02-16T00:00:00",92,"Routine - Unscheduled","70494_20160216_103133","Foods not protected from contamination","Moderate Risk",2
"99",70494,"The Little Chihuahua Mexican Restaurant","581 VALENCIA St","San Francisco","CA","94110",37.763664,-122.421736,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421736', 'latitude': '37.763664'}",14155207111,"70494_20160216","2016-02-16T00:00:00",92,"Routine - Unscheduled","70494_20160216_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"118",70494,"The Little Chihuahua Mexican Restaurant","581 VALENCIA St","San Francisco","CA","94110",37.763664,-122.421736,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421736', 'latitude': '37.763664'}",14155207111,"70494_20160216","2016-02-16T00:00:00",92,"Routine - Unscheduled","70494_20160216_103150","Improper or defective plumbing","Low Risk",1
"130",1081,"ARINELL PIZZA","509 VALENCIA St","San Francisco","CA","94110",37.764744,-122.421803,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421803', 'latitude': '37.764744'}",14155251303,"1081_20160222","2016-02-22T00:00:00",84,"Routine - Unscheduled","1081_20160222_103131","Moderate risk vermin infestation","Moderate Risk",2
"132",1081,"ARINELL PIZZA","509 VALENCIA St","San Francisco","CA","94110",37.764744,-122.421803,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421803', 'latitude': '37.764744'}",14155251303,"1081_20160222","2016-02-22T00:00:00",84,"Routine - Unscheduled","1081_20160222_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"133",1081,"ARINELL PIZZA","509 VALENCIA St","San Francisco","CA","94110",37.764744,-122.421803,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421803', 'latitude': '37.764744'}",14155251303,"1081_20160222","2016-02-22T00:00:00",84,"Routine - Unscheduled","1081_20160222_103139","Improper food storage","Low Risk",1
"141",4683,"JAVA ON OCEAN","1700 OCEAN Ave","San Francisco","CA","94112",37.724778,-122.460205,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.460205', 'latitude': '37.724778'}",14155336075,"4683_20160222","2016-02-22T00:00:00",96,"Routine - Unscheduled","4683_20160222_103142","Unclean nonfood contact surfaces","Low Risk",1
"143",4683,"JAVA ON OCEAN","1700 OCEAN Ave","San Francisco","CA","94112",37.724778,-122.460205,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.460205', 'latitude': '37.724778'}",14155336075,"4683_20160222","2016-02-22T00:00:00",96,"Routine - Unscheduled","4683_20160222_103157","Food safety certificate or food handler card not available","Low Risk",1
"146",1081,"ARINELL PIZZA","509 VALENCIA St","San Francisco","CA","94110",37.764744,-122.421803,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421803', 'latitude': '37.764744'}",14155251303,"1081_20160222","2016-02-22T00:00:00",84,"Routine - Unscheduled","1081_20160222_103120","Moderate risk food holding temperature","Moderate Risk",2
"159",1081,"ARINELL PIZZA","509 VALENCIA St","San Francisco","CA","94110",37.764744,-122.421803,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421803', 'latitude': '37.764744'}",14155251303,"1081_20160222","2016-02-22T00:00:00",84,"Routine - Unscheduled","1081_20160222_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"178",7744,"SAFEWAY #759","625 MONTEREY Blvd","San Francisco","CA","94127",37.731523,-122.45005,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.45005', 'latitude': '37.731523'}",14155582421,"7744_20160219","2016-02-19T00:00:00",87,"Routine - Unscheduled","7744_20160219_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"182",5961,"ST VINCENT DE PAUL","2356 GREEN St","San Francisco","CA","94123",37.795882,-122.43789,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.43789', 'latitude': '37.795882'}",14155345505,"5961_20160219","2016-02-19T00:00:00",92,"Routine - Unscheduled","5961_20160219_103138","Improper storage use or identification of toxic substances","Low Risk",1
"186",61285,"Cocola","3251 20th Ave 186","San Francisco","CA","94132",37.728497,-122.475639,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.475639', 'latitude': '37.728497'}",14155246238,"61285_20160218","2016-02-18T00:00:00",93,"Routine - Unscheduled","61285_20160218_103103","High risk food holding temperature","High Risk",3
"190",7744,"SAFEWAY #759","625 MONTEREY Blvd","San Francisco","CA","94127",37.731523,-122.45005,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.45005', 'latitude': '37.731523'}",14155582421,"7744_20160219","2016-02-19T00:00:00",87,"Routine - Unscheduled","7744_20160219_103112","No hot water or running water","High Risk",3
"193",5961,"ST VINCENT DE PAUL","2356 GREEN St","San Francisco","CA","94123",37.795882,-122.43789,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.43789', 'latitude': '37.795882'}",14155345505,"5961_20160219","2016-02-19T00:00:00",92,"Routine - Unscheduled","5961_20160219_103133","Foods not protected from contamination","Moderate Risk",2
"205",61736,"Rosamunde Sausage Grill","2832 MISSION St","San Francisco","CA","94110",37.751587,-122.418444,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418444', 'latitude': '37.751587'}",14155307170,"61736_20160222","2016-02-22T00:00:00",96,"Routine - Unscheduled","61736_20160222_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"206",7744,"SAFEWAY #759","625 MONTEREY Blvd","San Francisco","CA","94127",37.731523,-122.45005,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.45005', 'latitude': '37.731523'}",14155582421,"7744_20160219","2016-02-19T00:00:00",87,"Routine - Unscheduled","7744_20160219_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"207",5961,"ST VINCENT DE PAUL","2356 GREEN St","San Francisco","CA","94123",37.795882,-122.43789,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.43789', 'latitude': '37.795882'}",14155345505,"5961_20160219","2016-02-19T00:00:00",92,"Routine - Unscheduled","5961_20160219_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"212",61736,"Rosamunde Sausage Grill","2832 MISSION St","San Francisco","CA","94110",37.751587,-122.418444,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418444', 'latitude': '37.751587'}",14155307170,"61736_20160222","2016-02-22T00:00:00",96,"Routine - Unscheduled","61736_20160222_103153","Inadequate dressing rooms or improper storage of personal items","Low Risk",1
"213",7744,"SAFEWAY #759","625 MONTEREY Blvd","San Francisco","CA","94127",37.731523,-122.45005,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.45005', 'latitude': '37.731523'}",14155582421,"7744_20160219","2016-02-19T00:00:00",87,"Routine - Unscheduled","7744_20160219_103142","Unclean nonfood contact surfaces","Low Risk",1
"221",71286,"21 Taste House","1109 Ocean Ave","San Francisco","CA","94112",37.723461,-122.454226,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.454226', 'latitude': '37.723461'}",14155932233,"71286_20160223","2016-02-23T00:00:00",85,"Routine - Unscheduled","71286_20160223_103109","Unclean or unsanitary food contact surfaces","High Risk",3
"233",5297,"EL NORTENO","801 bryant St","San Francisco","CA","94103",37.776011,-122.402466,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.402466', 'latitude': '37.776011'}",14150208621,"5297_20160224","2016-02-24T00:00:00",92,"Routine - Unscheduled","5297_20160224_103157","Food safety certificate or food handler card not available","Low Risk",1
"242",5297,"EL NORTENO","801 bryant St","San Francisco","CA","94103",37.776011,-122.402466,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.402466', 'latitude': '37.776011'}",14150208621,"5297_20160224","2016-02-24T00:00:00",92,"Routine - Unscheduled","5297_20160224_103120","Moderate risk food holding temperature","Moderate Risk",2
"249",5297,"EL NORTENO","801 bryant St","San Francisco","CA","94103",37.776011,-122.402466,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.402466', 'latitude': '37.776011'}",14150208621,"5297_20160224","2016-02-24T00:00:00",92,"Routine - Unscheduled","5297_20160224_103143","Inadequate warewashing facilities or equipment","Low Risk",1
"254",71286,"21 Taste House","1109 Ocean Ave","San Francisco","CA","94112",37.723461,-122.454226,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.454226', 'latitude': '37.723461'}",14155932233,"71286_20160223","2016-02-23T00:00:00",85,"Routine - Unscheduled","71286_20160223_103120","Moderate risk food holding temperature","Moderate Risk",2
"257",71286,"21 Taste House","1109 Ocean Ave","San Francisco","CA","94112",37.723461,-122.454226,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.454226', 'latitude': '37.723461'}",14155932233,"71286_20160223","2016-02-23T00:00:00",85,"Routine - Unscheduled","71286_20160223_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"285",2973,"KOH SAMUI & THE MONKEY","415 BRANNAN St","San Francisco","CA","94107",37.779777,-122.394673,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.394673', 'latitude': '37.779777'}",14155579885,"2973_20160224","2016-02-24T00:00:00",96,"Routine - Unscheduled","2973_20160224_103133","Foods not protected from contamination","Moderate Risk",2
"325",14303,"Mango Medley","3911 Judah St.","San Francisco","CA","94122",37.760454,-122.503939,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.503939', 'latitude': '37.760454'}",14155683228,"14303_20160224","2016-02-24T00:00:00",98,"Routine - Unscheduled","14303_20160224_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"330",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"338",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"341",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103157","Food safety certificate or food handler card not available","Low Risk",1
"342",5025,"PIZZA HUT","3349 MISSION St","San Francisco","CA","94110",37.743313,-122.421363,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421363', 'latitude': '37.743313'}",14155472600,"5025_20160222","2016-02-22T00:00:00",96,"Routine - Unscheduled","5025_20160222_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"347",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"350",2632,"MARTHA & BROS COFFEE CO","745 CORTLAND Ave","San Francisco","CA","94110",37.738927,-122.414757,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.414757', 'latitude': '37.738927'}",14155647779,"2632_20160219","2016-02-19T00:00:00",88,"Routine - Unscheduled","2632_20160219_103141","Improper food labeling or menu misrepresentation","Low Risk",1
"354",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103156","Permit license or inspection report not posted","Low Risk",1
"362",5025,"PIZZA HUT","3349 MISSION St","San Francisco","CA","94110",37.743313,-122.421363,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421363', 'latitude': '37.743313'}",14155472600,"5025_20160222","2016-02-22T00:00:00",96,"Routine - Unscheduled","5025_20160222_103142","Unclean nonfood contact surfaces","Low Risk",1
"370",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103139","Improper food storage","Low Risk",1
"379",2632,"MARTHA & BROS COFFEE CO","745 CORTLAND Ave","San Francisco","CA","94110",37.738927,-122.414757,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.414757', 'latitude': '37.738927'}",14155647779,"2632_20160219","2016-02-19T00:00:00",88,"Routine - Unscheduled","2632_20160219_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"387",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"388",2632,"MARTHA & BROS COFFEE CO","745 CORTLAND Ave","San Francisco","CA","94110",37.738927,-122.414757,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.414757', 'latitude': '37.738927'}",14155647779,"2632_20160219","2016-02-19T00:00:00",88,"Routine - Unscheduled","2632_20160219_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"396",70516,"Shabu House","2608 Ocean Ave","San Francisco","CA","94132",37.731746,-122.473318,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.473318', 'latitude': '37.731746'}",14155588800,"70516_20160225","2016-02-25T00:00:00",77,"Routine - Unscheduled","70516_20160225_103114","High risk vermin infestation","High Risk",3
"397",2632,"MARTHA & BROS COFFEE CO","745 CORTLAND Ave","San Francisco","CA","94110",37.738927,-122.414757,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.414757', 'latitude': '37.738927'}",14155647779,"2632_20160219","2016-02-19T00:00:00",88,"Routine - Unscheduled","2632_20160219_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"417",4959,"THAT'S IT MARKET","2699 Mission St","San Francisco","CA","94110",37.753973,-122.418576,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418576', 'latitude': '37.753973'}",14155289833,"4959_20160229","2016-02-29T00:00:00",90,"Routine - Unscheduled","4959_20160229_103139","Improper food storage","Low Risk",1
"423",4959,"THAT'S IT MARKET","2699 Mission St","San Francisco","CA","94110",37.753973,-122.418576,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418576', 'latitude': '37.753973'}",14155289833,"4959_20160229","2016-02-29T00:00:00",90,"Routine - Unscheduled","4959_20160229_103157","Food safety certificate or food handler card not available","Low Risk",1
"433",4959,"THAT'S IT MARKET","2699 Mission St","San Francisco","CA","94110",37.753973,-122.418576,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418576', 'latitude': '37.753973'}",14155289833,"4959_20160229","2016-02-29T00:00:00",90,"Routine - Unscheduled","4959_20160229_103142","Unclean nonfood contact surfaces","Low Risk",1
"435",4959,"THAT'S IT MARKET","2699 Mission St","San Francisco","CA","94110",37.753973,-122.418576,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418576', 'latitude': '37.753973'}",14155289833,"4959_20160229","2016-02-29T00:00:00",90,"Routine - Unscheduled","4959_20160229_103161","Low risk vermin infestation","Low Risk",1
"444",4959,"THAT'S IT MARKET","2699 Mission St","San Francisco","CA","94110",37.753973,-122.418576,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418576', 'latitude': '37.753973'}",14155289833,"4959_20160229","2016-02-29T00:00:00",90,"Routine - Unscheduled","4959_20160229_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"456",7645,"LUCKY PORK MARKET","2659 MISSION St","San Francisco","CA","94110",37.754513,-122.418626,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418626', 'latitude': '37.754513'}",14155644805,"7645_20160301","2016-03-01T00:00:00",88,"Routine - Unscheduled","7645_20160301_103139","Improper food storage","Low Risk",1
"460",7645,"LUCKY PORK MARKET","2659 MISSION St","San Francisco","CA","94110",37.754513,-122.418626,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418626', 'latitude': '37.754513'}",14155644805,"7645_20160301","2016-03-01T00:00:00",88,"Routine - Unscheduled","7645_20160301_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"461",7645,"LUCKY PORK MARKET","2659 MISSION St","San Francisco","CA","94110",37.754513,-122.418626,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418626', 'latitude': '37.754513'}",14155644805,"7645_20160301","2016-03-01T00:00:00",88,"Routine - Unscheduled","7645_20160301_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"463",2352,"SMILE'S  B.B.Q.","2619 MISSION St","San Francisco","CA","94110",37.755013,-122.418665,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418665', 'latitude': '37.755013'}",14155281596,"2352_20160301","2016-03-01T00:00:00",98,"Routine - Unscheduled","2352_20160301_103142","Unclean nonfood contact surfaces","Low Risk",1
"464",7645,"LUCKY PORK MARKET","2659 MISSION St","San Francisco","CA","94110",37.754513,-122.418626,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418626', 'latitude': '37.754513'}",14155644805,"7645_20160301","2016-03-01T00:00:00",88,"Routine - Unscheduled","7645_20160301_103141","Improper food labeling or menu misrepresentation","Low Risk",1
"469",7645,"LUCKY PORK MARKET","2659 MISSION St","San Francisco","CA","94110",37.754513,-122.418626,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418626', 'latitude': '37.754513'}",14155644805,"7645_20160301","2016-03-01T00:00:00",88,"Routine - Unscheduled","7645_20160301_103161","Low risk vermin infestation","Low Risk",1
"471",7645,"LUCKY PORK MARKET","2659 MISSION St","San Francisco","CA","94110",37.754513,-122.418626,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418626', 'latitude': '37.754513'}",14155644805,"7645_20160301","2016-03-01T00:00:00",88,"Routine - Unscheduled","7645_20160301_103157","Food safety certificate or food handler card not available","Low Risk",1
"479",5011,"STARBUCKS COFFEE CO","1231 MARKET St","San Francisco","CA","94103",37.778357,-122.415182,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.415182', 'latitude': '37.778357'}",14155521438,"5011_20160301","2016-03-01T00:00:00",87,"Routine - Unscheduled","5011_20160301_103156","Permit license or inspection report not posted","Low Risk",1
"496",5011,"STARBUCKS COFFEE CO","1231 MARKET St","San Francisco","CA","94103",37.778357,-122.415182,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.415182', 'latitude': '37.778357'}",14155521438,"5011_20160301","2016-03-01T00:00:00",87,"Routine - Unscheduled","5011_20160301_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"505",5011,"STARBUCKS COFFEE CO","1231 MARKET St","San Francisco","CA","94103",37.778357,-122.415182,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.415182', 'latitude': '37.778357'}",14155521438,"5011_20160301","2016-03-01T00:00:00",87,"Routine - Unscheduled","5011_20160301_103112","No hot water or running water","High Risk",3
