"","business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category","riskCatScore"
"46564",61915,"La Loma Produce Nos. 3 & 9 Inc","5652 MISSION St","San Francisco","CA","94112",37.710685,-122.447907,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.447907', 'latitude': '37.710685'}",14155589254,"61915_20190109","2019-01-09T00:00:00",83,"Routine - Unscheduled","61915_20190109_103109","Unclean or unsanitary food contact surfaces","High Risk",3
"46567",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20171010","2017-10-10T00:00:00",70,"Routine - Unscheduled","71657_20171010_103105","Improper cooling methods","High Risk",3
"46570",628,"EL BURRITO EXPRESS #2","1812 DIVISADERO St","San Francisco","CA","94115",37.786407,-122.440057,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.440057', 'latitude': '37.786407'}",14155774246,"628_20190109","2019-01-09T00:00:00",79,"Routine - Unscheduled","628_20190109_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"46578",251,"THE BEANERY INC.","602 Irving St","San Francisco","CA","94122",37.764148,-122.464391,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.464391', 'latitude': '37.764148'}",14155661090,"251_20180306","2018-03-06T00:00:00",98,"Routine - Unscheduled","251_20180306_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"46589",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20180814","2018-08-14T00:00:00",76,"Routine - Unscheduled","71657_20180814_103133","Foods not protected from contamination","Moderate Risk",2
"46591",61915,"La Loma Produce Nos. 3 & 9 Inc","5652 MISSION St","San Francisco","CA","94112",37.710685,-122.447907,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.447907', 'latitude': '37.710685'}",14155589254,"61915_20190109","2019-01-09T00:00:00",83,"Routine - Unscheduled","61915_20190109_103120","Moderate risk food holding temperature","Moderate Risk",2
"46599",11610,"On Lok","225 30th St","San Francisco","CA","94131",37.742129,-122.425006,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.425006', 'latitude': '37.742129'}",14155644359,"11610_20190107","2019-01-07T00:00:00",87,"Routine - Unscheduled","11610_20190107_103129","Insufficient hot water or running water","Moderate Risk",2
"46600",615,"J & A RESTAURANT","5712 MISSION St","San Francisco","CA","94112",37.709857,-122.449709,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.449709', 'latitude': '37.709857'}",14155336688,"615_20190109","2019-01-09T00:00:00",89,"Routine - Unscheduled","615_20190109_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"46601",628,"EL BURRITO EXPRESS #2","1812 DIVISADERO St","San Francisco","CA","94115",37.786407,-122.440057,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.440057', 'latitude': '37.786407'}",14155774246,"628_20190109","2019-01-09T00:00:00",79,"Routine - Unscheduled","628_20190109_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"46603",3070,"FLOWER MARKET CAFE","698 BRANNAN St","San Francisco","CA","94107",37.775664,-122.399999,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.399999', 'latitude': '37.775664'}",14155497162,"3070_20190110","2019-01-10T00:00:00",77,"Routine - Unscheduled","3070_20190110_103138","Improper storage use or identification of toxic substances","Low Risk",1
"46610",64940,"The Grove-Hayes","301 Hayes St","San Francisco","CA","94102",37.777026,-122.421361,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.421361', 'latitude': '37.777026'}",14155623953,"64940_20190109","2019-01-09T00:00:00",96,"Routine - Unscheduled","64940_20190109_103120","Moderate risk food holding temperature","Moderate Risk",2
